epoch,acc,loss,val_acc,val_loss
0,0.005609448240884376,480.8643514823914,0.0057581421046052125,475.9560408782959
1,0.005716680912828451,351.16886331558226,0.005644567883573473,782.0048637390137
2,0.005620211787609151,326.3935879611969,0.005823425300477538,508.3922193145752
3,0.005696789554131101,308.98670800209044,0.005485717771662167,343.05831024169925
4,0.005703558355053246,301.5148943710327,0.005581347646802896,310.60211811065676
5,0.005666827393615677,294.8302319049835,0.005575769048882648,338.39316581726075
6,0.005653497320126917,287.2302906703949,0.005700622562726494,286.4121349334717
7,0.005674734500680643,283.2874266910553,0.00580473633861402,287.421796875
8,0.005675473017363402,280.551884021759,0.005613623056415235,272.7460054397583
9,0.00575785522483784,277.1666144943237,0.0058184936542238575,294.56607242584226
10,0.005655560306440748,275.8063256645203,0.005373266606184189,285.35190322875974
11,0.0056518463198517565,273.8272725391388,0.005775097658188315,267.99274925231936
12,0.005659707646591414,272.5854604530334,0.005509313977963757,282.3943711090088
13,0.005642858889241324,270.38273651123046,0.005870410160569008,292.43293060302733
14,0.005653216550272191,269.2354326248169,0.005684704599843826,278.11259147644046
15,0.005633755498674873,270.4436323928833,0.005609497085097246,269.6426015853882
16,0.005648931897412695,267.49140057563784,0.005619946290971711,292.1242958068848
17,0.005716711422937806,268.773363981247,0.006029931641678559,268.6228660583496
18,0.005691833502169175,268.11268040657046,0.0054007934575201946,278.76036655426026
19,0.005651223750937788,266.49588508605956,0.005740783690707758,260.92201755523683
20,0.005686166385821707,265.799752035141,0.005485583491972648,308.8159063720703
21,0.005636294557625661,265.5876884460449,0.005557458494149614,263.8625496292114
22,0.005716165169196756,264.42217460632327,0.005867419436399359,308.55922157287597
23,0.005711880493781791,265.27845380783083,0.005698925767210312,279.5386549758911
24,0.005705014039594971,264.53712679862974,0.005674011200462701,262.8960573577881
25,0.005583972165477462,264.43178256988523,0.005519519029185176,266.92150871276857
26,0.00567171630798839,263.0637184906006,0.005744409166873084,260.669536781311
27,0.005655822751541564,263.06162421226503,0.005783068838063628,265.6210955047607
28,0.005669754028567695,262.9849292564392,0.005633374015887966,258.2423257827759
29,0.005752954095478344,262.7000883769989,0.005966345193883171,278.53987018585207
30,0.005664324950303125,262.02699167251586,0.005555029292008839,259.7027840423584
31,0.005569424438108399,258.03218111038206,0.005888854984077625,248.96439044952393
32,0.005794287111566519,256.537620267868,0.005335095204936806,249.50913677215576
33,0.0056023162814744865,257.13366058349607,0.005798669436771888,251.66624114990233
34,0.005697891237614386,257.07496446609497,0.005716052242787555,250.77403358459472
35,0.005657666018305463,256.32645650863645,0.005490966785582713,249.92529766082762
36,0.005667361447394797,257.2920414733887,0.005848010234331014,249.68308059692382
37,0.005687658693605044,255.95427946090697,0.005573352056817384,252.57438869476317
38,0.0057237884576352375,255.56524475097658,0.005715881357900798,249.72386863708496
39,0.005629687498549174,256.8148688697815,0.005745397954597138,250.76623352050783
40,0.0056754821807771805,255.52471645355226,0.005665734863578109,250.26617511749268
41,0.005625854492809595,256.3019996070862,0.005503894041175954,250.65324016571046
42,0.005682052613883571,256.3018334007263,0.005628283694532002,248.6040651321411
43,0.005684243771647743,255.72962849617005,0.006008752446068684,251.12884937286378
44,0.00568992308630186,255.26337946891783,0.005720788573962636,251.14053478240967
45,0.005546456920346827,255.8743759250641,0.005474096691177693,251.24177116394043
46,0.005846475225152972,255.0328053855896,0.005431579596115625,250.1139861679077
47,0.005596954343927791,255.94737446784973,0.005626916495384648,250.9682857131958
48,0.005670989984901098,255.96259596824646,0.00601726074135513,249.8931330871582
49,0.005682296761242469,255.62114164352417,0.00574226075943443,250.61404308319092
